accession,description,length_bp,source,host_genus,in_interaction_matrix
PX667142.1,"Staphylococcus phage EFLK1_S, complete genome",,negative_pool,Staphylococcus,no
PX670425.1,"UNVERIFIED: Pseudomonas phage vB_pae_dh1, complete genome",,negative_pool,Unknown,no
PX673948.1,"Pseudomonas phage pWA51, complete genome",,negative_pool,Pseudomonas,no
PX673949.1,"Pseudomonas phage pSO21, complete genome",,negative_pool,Pseudomonas,no
PX674298.1,"Bacillus phage MBMR7, complete genome",,negative_pool,Bacillus,no
PX677422.1,"Pseudomonas phage Baskent_P7, complete genome",,negative_pool,Pseudomonas,no
PX680747.1,"Stenotrophomonas phage vB_Sma_QH17, complete genome",,negative_pool,Stenotrophomonas,no
PX680748.1,"Stenotrophomonas phage vB_Sma_QH167, complete genome",,negative_pool,Stenotrophomonas,no
PX682299.1,"Xanthomonas phage vB_Xoo_GDJ3, complete genome",43353,canonical_xanthomonas,Xanthomonas,yes
PX682300.1,"Xanthomonas phage vB_Xoo_JH1, complete genome",43813,canonical_xanthomonas,Xanthomonas,yes
PX682301.1,"Xanthomonas phage vB_Xoo_JL1LN, complete genome",42506,canonical_xanthomonas,Xanthomonas,yes
PX682302.1,"Xanthomonas phage vB_Xoo_NBW, complete genome",44862,canonical_xanthomonas,Xanthomonas,yes
PX682303.1,"Xanthomonas phage vB_Xoo_QZ143, complete genome",45818,canonical_xanthomonas,Xanthomonas,yes
PX682304.1,"Xanthomonas phage vB_Xoo_QZ532, complete genome",44733,canonical_xanthomonas,Xanthomonas,yes
PX682305.1,"Xanthomonas phage vB_Xoo_AQ1, complete genome",42448,canonical_xanthomonas,Xanthomonas,yes
PX682306.1,"Xanthomonas phage vB_Xoo_CZ1, complete genome",46142,canonical_xanthomonas,Xanthomonas,yes
PX682307.1,"Xanthomonas phage vB_Xoo_CZ2, complete genome",46168,canonical_xanthomonas,Xanthomonas,yes
PX682308.1,"Xanthomonas phage vB_Xoo_FJ1, complete genome",44507,canonical_xanthomonas,Xanthomonas,yes
PX682309.1,"Xanthomonas phage vB_Xoo_GDJ2, complete genome",44555,canonical_xanthomonas,Xanthomonas,yes
PX682310.1,"Xanthomonas phage vB_Xoo_GDJ1, complete genome",44681,canonical_xanthomonas,Xanthomonas,yes
PX682311.1,"Xanthomonas phage vB_Xoo_GX1, complete genome",43916,canonical_xanthomonas,Xanthomonas,yes
PX682312.1,"Xanthomonas phage vB_Xoo_GX2, complete genome",44139,canonical_xanthomonas,Xanthomonas,yes
PX682313.1,"Xanthomonas phage vB_Xoo_GX3, complete genome",44381,canonical_xanthomonas,Xanthomonas,yes
PX682314.1,"Xanthomonas phage vB_Xoo_GXN, complete genome",43967,canonical_xanthomonas,Xanthomonas,yes
PX682315.1,"Xanthomonas phage vB_Xoo_JL4LN, complete genome",46119,canonical_xanthomonas,Xanthomonas,yes
PX682316.1,"Xanthomonas phage vB_Xoo_JL5LN, complete genome",44811,canonical_xanthomonas,Xanthomonas,yes
PX682317.1,"Xanthomonas phage vB_Xoo_JLGD, complete genome",44555,canonical_xanthomonas,Xanthomonas,yes
PX682318.1,"Xanthomonas phage vB_Xoo_JLH1, complete genome",45721,canonical_xanthomonas,Xanthomonas,yes
PX682319.1,"Xanthomonas phage vB_Xoo_JLP4, complete genome",46120,canonical_xanthomonas,Xanthomonas,yes
PX682320.1,"Xanthomonas phage vB_Xoo_JLP5, complete genome",44811,canonical_xanthomonas,Xanthomonas,yes
PX682321.1,"Xanthomonas phage vB_Xoo_NB1, complete genome",43218,canonical_xanthomonas,Xanthomonas,yes
PX682322.1,"Xanthomonas phage vB_Xoo_QZ531, complete genome",44718,canonical_xanthomonas,Xanthomonas,yes
PX682323.1,"Xanthomonas phage vB_Xoo_GXB, complete genome",46745,canonical_xanthomonas,Xanthomonas,yes
PX682324.1,"Xanthomonas phage vB_Xoo_TZ1, complete genome",44934,canonical_xanthomonas,Xanthomonas,yes
PX682327.1,"Xanthomonas phage vB_Xoo_JLP2, complete genome",46024,canonical_xanthomonas,Xanthomonas,yes
PX682328.1,"Xanthomonas phage vB_Xoo_QZX, complete genome",45661,canonical_xanthomonas,Xanthomonas,yes
PX682329.1,"Xanthomonas phage vB_Xoo_GXBLN, complete genome",46926,canonical_xanthomonas,Xanthomonas,yes
PX682330.1,"Xanthomonas phage vB_Xoo_GXJS, complete genome",46935,canonical_xanthomonas,Xanthomonas,yes
PX725649.1,"Stenotrophomonas phage vB_Sma_QH84, complete genome",,negative_pool,Stenotrophomonas,no
PX725670.1,"Pseudomonas phage PyoPredator-2025, complete genome",,negative_pool,Pseudomonas,no
PX753197.1,"Xylella phage Patu, complete genome",,negative_pool,Xylella,no
PX753198.1,"Xylella phage Porto, complete genome",,negative_pool,Xylella,no
PX753199.1,"Xylella phage Pico, complete genome",,negative_pool,Xylella,no
PX787798.1,"Staphylococcus phage KXI_01, complete genome",,negative_pool,Staphylococcus,no
PX789324.1,"Pseudomonas phage MC11, complete genome",,negative_pool,Pseudomonas,no
PX789325.1,"Pseudoxanthomonas phage PS211, complete genome",,negative_pool,Pseudoxanthomonas,no
PX789326.1,"Pseudoxanthomonas phage PS519, complete genome",,negative_pool,Pseudoxanthomonas,no
PX789327.1,"Pseudoxanthomonas phage PS525, complete genome",,negative_pool,Pseudoxanthomonas,no
PX789328.1,"Pseudoxanthomonas phage PT226, complete genome",,negative_pool,Pseudoxanthomonas,no
PX789329.1,"Pseudoxanthomonas phage PT816, complete genome",,negative_pool,Pseudoxanthomonas,no
PX789330.1,"Pseudoxanthomonas phage PT456, complete genome",,negative_pool,Pseudoxanthomonas,no
PX828561.1,"Stenotrophomonas phage BCVI_Sma-b23phi, complete genome",,negative_pool,Stenotrophomonas,no
PX828562.1,"Stenotrophomonas phage BCVI_Sma-b21phi, complete genome",,negative_pool,Stenotrophomonas,no
PX828563.1,"Stenotrophomonas phage BCVI_Sma-b22phi, complete genome",,negative_pool,Stenotrophomonas,no
PX828564.1,"Stenotrophomonas phage BCVI_Sma-b24phi, complete genome",,negative_pool,Stenotrophomonas,no
PX842512.1,"Bacillus phage WAH1, complete genome",,negative_pool,Bacillus,no
PX842636.1,"Staphylococcus phage PSARa, complete genome",,negative_pool,Staphylococcus,no
PX842708.1,"Staphylococcus phage pelagios, complete genome",,negative_pool,Staphylococcus,no
PX843004.1,"Pseudomonas phage Junood_PK3, complete genome",,negative_pool,Pseudomonas,no
PX843005.1,"Klebsiella phage Junood_PK6, complete genome",,negative_pool,Klebsiella,no
PX843006.1,"Pseudomonas phage Junood_PK4, complete genome",,negative_pool,Pseudomonas,no
PX843241.1,"Pseudomonas phage Klucen469, complete genome",,negative_pool,Pseudomonas,no
PX843242.1,"Pseudomonas phage Onen484, complete genome",,negative_pool,Pseudomonas,no
PX843243.1,"Pseudomonas phage Onen526, complete genome",,negative_pool,Pseudomonas,no
PX843244.1,"Pseudomonas phage Radvan531, complete genome",,negative_pool,Pseudomonas,no
PX843245.1,"Pseudomonas phage Lasov521, complete genome",,negative_pool,Pseudomonas,no
PX843246.1,"Pseudomonas phage Kovar531, complete genome",,negative_pool,Pseudomonas,no
PX848770.1,"Staphylococcus phage vB_SauM-MUHD-1, complete genome",,negative_pool,Staphylococcus,no
PX852194.1,"Pseudomonas phage E5M1, complete genome",,negative_pool,Pseudomonas,no
PX852245.1,"Pseudomonas phage vB_PaeP_P39, complete genome",,negative_pool,Pseudomonas,no
PX853108.1,"Escherichia phage ML-2, complete genome",,negative_pool,Escherichia,no
PX853812.1,"Escherichia phage SF-E4, complete genome",,negative_pool,Escherichia,no
PX854772.1,"Pseudomonas phage vB_Psp_JHDO137a, complete genome",,negative_pool,Pseudomonas,no
PX866597.1,"Bacillus phage Asciepus, complete genome",,negative_pool,Bacillus,no
PX866599.1,"Priestia phage Salamander, complete genome",,negative_pool,Priestia,no
PX866600.1,"Bacillus phage Wyvern, complete genome",,negative_pool,Bacillus,no
PX866601.1,"Bacillus phage Nierus, complete genome",,negative_pool,Bacillus,no
PX866603.1,"Priestia phage Wyrm, complete genome",,negative_pool,Priestia,no
PX866605.1,"Cellulosimicrobium phage Basalisk, complete genome",,negative_pool,Cellulosimicrobium,no
PX866611.1,"Cellulosimicrobium phage Cerberus, complete genome",,negative_pool,Cellulosimicrobium,no
PX866612.1,"Cellulosimicrobium phage Gorgon, complete genome",,negative_pool,Cellulosimicrobium,no
PX866998.1,"Pseudomonas phage VNP12.1, complete genome",,negative_pool,Pseudomonas,no
PX871048.2,"Escherichia phage vB_EcoS-NB10, complete genome",,negative_pool,Escherichia,no
PX872122.1,"Staphylococcus phage SAP15, complete genome",,negative_pool,Staphylococcus,no
PX872532.1,"Bacillus phage HRZ04p, complete genome",,negative_pool,Bacillus,no
PX872915.1,"Klebsiella phage CP-p-KP-22142, complete genome",,negative_pool,Klebsiella,no
PX872916.1,"Stenotrophomonas phage CP-p-PMA-23011, complete genome",,negative_pool,Stenotrophomonas,no
PX872917.1,"Klebsiella phage KP-D-4, complete genome",,negative_pool,Klebsiella,no
PX872919.1,"Klebsiella phage CP-p-KP-21005, complete genome",,negative_pool,Klebsiella,no
PX872920.1,"Klebsiella phage CP-p-KP-21065, complete genome",,negative_pool,Klebsiella,no
PX872921.1,"Klebsiella phage CP-p-KP-21107, complete genome",,negative_pool,Klebsiella,no
PX872922.1,"Klebsiella phage CP-p-KP-22145, complete genome",,negative_pool,Klebsiella,no
PX872923.1,"Klebsiella phage CP-p-KP-23208, complete genome",,negative_pool,Klebsiella,no
PX880098.1,"Escherichia phage Taldykol, complete genome",,negative_pool,Escherichia,no
PX880099.1,"Escherichia phage Aidakhar, complete genome",,negative_pool,Escherichia,no
PX880100.1,"Escherichia phage Samruk, complete genome",,negative_pool,Escherichia,no
PX880101.1,"Escherichia phage Baiterek, complete genome",,negative_pool,Escherichia,no
PX880102.1,"Escherichia phage Tulpar, complete genome",,negative_pool,Escherichia,no
PX880103.1,"Escherichia phage Shurale, complete genome",,negative_pool,Escherichia,no
PX884078.1,"UNVERIFIED: Pseudomonas phage PA-319, complete genome",,negative_pool,Unknown,no
PX884079.1,"UNVERIFIED: Pseudomonas phage PA-575, complete genome",,negative_pool,Unknown,no
PX884080.1,"UNVERIFIED: Pseudomonas phage PA-711, complete genome",,negative_pool,Unknown,no
PX907400.1,"Escherichia phage CUTI, complete genome",,negative_pool,Escherichia,no
PX907401.1,"Escherichia phage Char1o2, complete genome",,negative_pool,Escherichia,no
PX907402.1,"Escherichia phage Char4.1C, complete genome",,negative_pool,Escherichia,no
PX907403.1,"Escherichia phage Char3.1A, complete genome",,negative_pool,Escherichia,no
PX907404.1,"Escherichia phage Arnold, complete genome",,negative_pool,Escherichia,no
PX943558.1,"Salmonella phage P53F, complete genome",,negative_pool,Salmonella,no
PX943615.1,"Klebsiella phage Henu16, complete genome",,negative_pool,Klebsiella,no
PX943855.1,"Staphylococcus phage vB_Sau-RP15-TrD7, complete genome",,negative_pool,Staphylococcus,no
PX943856.1,"Escherichia phage vB_EcoM-RPN242-TrD10, complete genome",,negative_pool,Escherichia,no
PX944703.1,"Salmonella phage S150, complete genome",,negative_pool,Salmonella,no
PX944704.1,"Salmonella phage S151, complete genome",,negative_pool,Salmonella,no
PX944705.1,"Salmonella phage S152, complete genome",,negative_pool,Salmonella,no
PX944706.1,"Salmonella phage S153, complete genome",,negative_pool,Salmonella,no
PX944707.1,"Salmonella phage S154, complete genome",,negative_pool,Salmonella,no
PX944708.1,"Salmonella phage S155, complete genome",,negative_pool,Salmonella,no
PX944709.1,"Salmonella phage S156, complete genome",,negative_pool,Salmonella,no
PX944710.1,"Salmonella phage S157, complete genome",,negative_pool,Salmonella,no
PX946034.1,"Klebsiella phage TRK61, complete genome",,negative_pool,Klebsiella,no
PX946180.1,"Escherichia phage EcoFZ-31, complete genome",,negative_pool,Escherichia,no
PX946874.1,"UNVERIFIED: Pseudomonas phage ph9027, complete genome",,negative_pool,Unknown,no
PX946875.1,"UNVERIFIED: Pseudomonass phage ph1461, complete genome",,negative_pool,Unknown,no
PX951411.1,"Pseudomonas phage vB_Pa_AN-12, complete genome",,negative_pool,Pseudomonas,no
PX962436.1,"Escherichia phage vB_EcS_Jnl-01, complete genome",,negative_pool,Escherichia,no
PX963123.1,"Pseudomonas phage Spalt, complete genome",,negative_pool,Pseudomonas,no
PX963124.1,"Pseudomonas phage Stade, complete genome",,negative_pool,Pseudomonas,no
PX963126.1,"Stenotrophomonas phage Potsdam, complete genome",,negative_pool,Stenotrophomonas,no
PX963128.1,"Stenotrophomonas phage Siegen, complete genome",,negative_pool,Stenotrophomonas,no
PX963129.1,"Stenotrophomonas phage Pirna, complete genome",,negative_pool,Stenotrophomonas,no
PX963130.1,"Stenotrophomonas phage Solingen, complete genome",,negative_pool,Stenotrophomonas,no
PX963132.1,"Stenotrophomonas phage Passau, complete genome",,negative_pool,Stenotrophomonas,no
PX968304.1,"Pseudomonas phage ph3678, complete genome",,negative_pool,Pseudomonas,no
PX968319.1,"UNVERIFIED: Pseudomonas phage GX_PA_BBO1, complete genome",,negative_pool,Unknown,no
PX969073.1,"Pseudomonas phage TIVP-31Bull2, complete genome",,negative_pool,Pseudomonas,no
PX969074.1,"Pseudomonas phage LPS-4, complete genome",,negative_pool,Pseudomonas,no
PX969075.1,"Escherichia phage mEp409, complete genome",,negative_pool,Escherichia,no
PX969080.1,"Klebsiella phage PK9, complete genome",,negative_pool,Klebsiella,no
PX969468.1,"Escherichia phage KN30, complete genome",,negative_pool,Escherichia,no
PX974237.1,"Escherichia phage vB_EcoS_GZMU_EI9, complete genome",,negative_pool,Escherichia,no
PX974238.1,"Pseudomonas phage vB_PaS_GZMU_PS12, complete genome",,negative_pool,Pseudomonas,no
PX974239.1,"Klebsiella phage phi1_066047, complete genome",,negative_pool,Klebsiella,no
PX974311.1,"Klebsiella phage SAKp26.2, complete genome",,negative_pool,Klebsiella,no
PX974331.1,"Klebsiella phage vB_KpnP_ZCKP10, complete genome",,negative_pool,Klebsiella,no
PX974332.1,"Klebsiella phage CP-p-KP-22185, complete genome",,negative_pool,Klebsiella,no
PX974333.1,"Klebsiella phage CP-p-KP-23232, complete genome",,negative_pool,Klebsiella,no
PX974340.1,"Bacillus phage GH_01, complete genome",,negative_pool,Bacillus,no
PX974351.1,"Staphylococcus phage vB_SauL_SHZU01, complete genome",,negative_pool,Staphylococcus,no
PX979746.1,"UNVERIFIED: Klebsiella phage vB_KpaM_pL, complete genome",,negative_pool,Unknown,no
PX994957.1,"Escherichia phage vB_EcoM-DCSW23lw, complete genome",,negative_pool,Escherichia,no
PX997083.1,"Xanthomonas phage P-XH, complete genome",42942,canonical_xanthomonas,Xanthomonas,yes
PX997131.1,"Klebsiella phage Ptero, complete genome",,negative_pool,Klebsiella,no
PZ000613.1,"Escherichia phage EcoFZ-54S4, complete genome",,negative_pool,Escherichia,no
PZ000615.1,"Escherichia phage vB_EcoM_Ww_Az2, complete genome",,negative_pool,Escherichia,no
PZ000751.1,"Klebsiella phage PKG, complete genome",,negative_pool,Klebsiella,no
PZ000752.1,"Klebsiella phage PKS, complete genome",,negative_pool,Klebsiella,no
PZ005745.1,"Pseudomonas phage Dresden, complete genome",,negative_pool,Pseudomonas,no
PZ014354.1,"Salmonella phage vB_PhiESI, complete genome",,negative_pool,Salmonella,no
PZ019082.1,"Escherichia phage Ayan, complete genome",,negative_pool,Escherichia,no
PZ019083.1,"Escherichia phage Azraf, complete genome",,negative_pool,Escherichia,no
PZ019084.1,"Escherichia phage Rayhan, complete genome",,negative_pool,Escherichia,no
PZ019085.1,"Escherichia phage Anabia, complete genome",,negative_pool,Escherichia,no
PZ019086.1,"Escherichia phage Wasif, complete genome",,negative_pool,Escherichia,no
PZ019799.1,"Xanthomonas phage vXeeB-P4A, complete genome",47892,canonical_xanthomonas,Xanthomonas,yes
PZ019800.1,"Xanthomonas phage vXeeB-P8B, complete genome",47424,canonical_xanthomonas,Xanthomonas,yes
PZ019801.1,"Xanthomonas phage vXeeB-P10B, complete genome",47421,canonical_xanthomonas,Xanthomonas,yes
PZ019802.1,"Xanthomonas phage vXeeB-P14B, complete genome",47410,canonical_xanthomonas,Xanthomonas,yes
PZ019803.1,"Xanthomonas phage vXeeB-W18B, complete genome",47424,canonical_xanthomonas,Xanthomonas,yes
PZ020097.1,"Salmonella phage S158, complete genome",,negative_pool,Salmonella,no
PZ020098.1,"Salmonella phage S159, complete genome",,negative_pool,Salmonella,no
PZ022450.1,"UNVERIFIED: Klebsiella phage EGYARMY-RLEUH01, complete genome",,negative_pool,Unknown,no
PZ025973.1,"Staphylococcus phage SA-Mt1, complete genome",,negative_pool,Staphylococcus,no
PZ026127.1,"Escherichia phage EC-2-32-1, complete genome",,negative_pool,Escherichia,no
PZ027503.1,"UNVERIFIED: Escherichia phage ETEC-S3, complete genome",,negative_pool,Unknown,no
PZ036784.1,"Klebsiella phage P1524, complete genome",,negative_pool,Klebsiella,no
PZ043209.1,"Pseudomonas phage Y6096, complete genome",,negative_pool,Pseudomonas,no
PZ048998.1,"Salmonella phage GSP011, complete genome",,negative_pool,Salmonella,no
PZ049337.1,"Escherichia phage EC1KC, complete genome",,negative_pool,Escherichia,no
PZ049338.1,"Escherichia phage EC3KM, complete genome",,negative_pool,Escherichia,no
PZ049449.1,"UNVERIFIED: Salmonella phage VB-SalS-XND03, complete genome",,negative_pool,Unknown,no
PZ049694.1,"Escherichia phage MEC7, complete genome",,negative_pool,Escherichia,no
PZ050807.1,"Escherichia phage KBU_SV1, complete genome",,negative_pool,Escherichia,no
PZ050808.1,"Klebsiella phage KBU_SV2, complete genome",,negative_pool,Klebsiella,no
PZ051231.1,"Staphylococcus phage SAP02, complete genome",,negative_pool,Staphylococcus,no
PZ051232.1,"Staphylococcus phage SAP24, complete genome",,negative_pool,Staphylococcus,no
PZ053910.1,"Pseudomonas phage Cootes, complete genome",,negative_pool,Pseudomonas,no
PZ053911.1,"Pseudomonas phage Kipling, complete genome",,negative_pool,Pseudomonas,no
PZ053912.1,"Escherichia phage phiM, complete genome",,negative_pool,Escherichia,no
PZ055531.1,"Klebsiella phage 2024.TE.12362, complete genome",,negative_pool,Klebsiella,no
PZ055532.1,"Klebsiella phage 2024.TE.12363, complete genome",,negative_pool,Klebsiella,no
PZ055533.1,"Klebsiella phage 2024.TE.12364, complete genome",,negative_pool,Klebsiella,no
PZ055534.1,"Klebsiella phage 2024.TE.12365, complete genome",,negative_pool,Klebsiella,no
PZ055535.1,"Klebsiella phage 2024.TE.12369, complete genome",,negative_pool,Klebsiella,no
PZ055536.1,"Klebsiella phage 2024.TE.12370, complete genome",,negative_pool,Klebsiella,no
PZ055537.1,"Klebsiella phage 2024.TE.12371, complete genome",,negative_pool,Klebsiella,no
PZ055538.1,"Klebsiella phage 2024.TE.12372, complete genome",,negative_pool,Klebsiella,no
PZ055573.1,"Pseudomonas phage vB_PsP_Sever, complete genome",,negative_pool,Pseudomonas,no
PZ055574.1,"Pseudomonas phage vB_PsP_Jiug, complete genome",,negative_pool,Pseudomonas,no
PZ055575.1,"Pseudomonas phage vB_PsP_Vostok, complete genome",,negative_pool,Pseudomonas,no
PZ055576.1,"Pseudomonas phage vB_PsP_Zapad, complete genome",,negative_pool,Pseudomonas,no
PZ069137.1,"Salmonella phage SZ-29, complete genome",,negative_pool,Salmonella,no
PZ091928.1,"Klebsiella phage KPTJT11, complete genome",,negative_pool,Klebsiella,no
PZ091942.1,"Escherichia phage vB_EcoP_P61425, complete genome",,negative_pool,Escherichia,no
PZ099256.1,"Stenotrophomonas phage BUCT798, complete genome",,negative_pool,Stenotrophomonas,no
PZ099670.1,"Klebsiella phage SLAM_phiKP05, complete genome",,negative_pool,Klebsiella,no
PZ099671.1,"Klebsiella phage SLAM_phiKP14, complete genome",,negative_pool,Klebsiella,no
PZ105927.1,"Klebsiella phage F8_1, complete genome",,negative_pool,Klebsiella,no
PZ122515.1,"Pseudomonas phage vB_PaeS_ARP3, complete genome",,negative_pool,Pseudomonas,no
PZ122516.1,"Pseudomonas phage vB_PaeM_ARP5, complete genome",,negative_pool,Pseudomonas,no
PZ125038.1,"Staphylococcus phage sv_nwjns1, complete genome",,negative_pool,Staphylococcus,no
PZ125052.1,"UNVERIFIED: Salmonella phage H31, complete genome",,negative_pool,Unknown,no
PZ145240.1,"UNVERIFIED: Mycobacterium phage U01, complete genome",,negative_pool,Unknown,no
PZ145241.1,"UNVERIFIED: Mycobacterium phage U02, complete genome",,negative_pool,Unknown,no
PZ145242.1,"UNVERIFIED: Mycobacterium phage U03, complete genome",,negative_pool,Unknown,no
PZ145244.1,"UNVERIFIED: Mycobacterium phage U05, complete genome",,negative_pool,Unknown,no
PZ171032.1,"Escherichia phage 5537, complete genome",,negative_pool,Escherichia,no
PZ171033.1,"Escherichia phage 5538_ALONE, complete genome",,negative_pool,Escherichia,no
PZ171034.1,"Escherichia phage 5538_NON_ALONE, complete genome",,negative_pool,Escherichia,no
PZ171035.1,"Escherichia phage phago12, complete genome",,negative_pool,Escherichia,no
PZ172977.1,"Mycobacterium phage Amao, complete genome",,negative_pool,Mycobacterium,no
PZ172978.1,"Mycobacterium phage Baoshan, complete genome",,negative_pool,Mycobacterium,no
PZ172979.1,"Mycobacterium phage SwirlSquare, complete genome",,negative_pool,Mycobacterium,no
PZ172980.1,"Mycobacterium phage GinPorsche, complete genome",,negative_pool,Mycobacterium,no
PZ172981.1,"Mycobacterium phage Koduck, complete genome",,negative_pool,Mycobacterium,no
PZ193109.1,"Pseudomonas phage XC2, complete genome",,negative_pool,Pseudomonas,no
PZ212788.1,"Escherichia phage 5540, complete genome",,negative_pool,Escherichia,no
PZ223989.1,"Escherichia phage vB_EcoM_QH04, complete genome",,negative_pool,Escherichia,no
PZ223990.1,"Escherichia phage vB_EcoM_QH05, complete genome",,negative_pool,Escherichia,no
PZ226539.1,"Pseudomonas phage phQ3, complete genome",,negative_pool,Pseudomonas,no
PZ226540.1,"Pseudomonas phage phQ2, complete genome",,negative_pool,Pseudomonas,no
PZ227171.1,"Klebsiella phage Kp_AHMU1, complete genome",,negative_pool,Klebsiella,no
PZ232053.1,"Pseudomonas phage vB_PaeA-38F, complete genome",,negative_pool,Pseudomonas,no
